RequiredAge,DemoCount,DeveloperCount,DLCCount,Metacritic,MovieCount,PackageCount,RecommendationCount,PublisherCount,ScreenshotCount,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,SteamSpyPlayersVariance,AchievementCount,AchievementHighlightedCount,ControllerSupport,IsFree,FreeVerAvail,PurchaseAvail,SubscriptionAvail,PlatformWindows,PlatformLinux,PlatformMac,PCReqsHaveMin,PCReqsHaveRec,LinuxReqsHaveMin,LinuxReqsHaveRec,MacReqsHaveMin,MacReqsHaveRec,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeSrcSDK,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,Header_Size_Bytes,Background_Size_Bytes,Background_Exists,Header_Size_Group,Release_Year,Release_Month,ReleaseDate_missing,month_sin,month_cos,game_age_years,Has_SupportEmail,Has_DRMNotice,Has_LegalNotice,Has_ExtUserAcctNotice,Review_Sentiment,language_count,has_english,tag_count,tag_indie,tag_action,tag_adventure,tag_casual,tag_singleplayer,tag_strategy,tag_simulation,tag_rpg,tag_multiplayer,tag_puzzle,tag_2d,tag_platformer,tag_shooter,tag_first_person,tag_pixel_graphics,tag_free_to_play,tag_sci_fi,tag_female_protagonist,tag_arcade,tag_early_access,tag_horror,tag_vr,tag_story_rich,tag_great_soundtrack,tag_atmospheric,pc_min_ram_gb,pc_min_word_count,pc_min_has_directx,has_pc_rec_reqs,pc_rec_ram_gb,pc_rec_word_count,has_linux_min_reqs,has_mac_min_reqs,desc_semantic_0,desc_semantic_1,desc_semantic_2,desc_semantic_3,desc_semantic_4,desc_semantic_5,desc_semantic_6,desc_semantic_7,desc_semantic_8,desc_semantic_9,desc_semantic_10,desc_semantic_11,desc_semantic_12,desc_semantic_13,desc_semantic_14,desc_semantic_15,desc_semantic_16,desc_semantic_17,desc_semantic_18,desc_semantic_19,desc_semantic_20,desc_semantic_21,desc_semantic_22,desc_semantic_23,desc_semantic_24,desc_semantic_25,desc_semantic_26,desc_semantic_27,desc_semantic_28,desc_semantic_29,has_discount,discount_amount,platform_count,category_count,genre_count,language_count_log,Support_Tier_General_Website,Support_Tier_Professional_Portal,Website_Authority_Has_Social_Only,Website_Authority_Major_Publisher
0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,10.895479272753965,1,1.791759469228055,16.552055629837817,11.519175890299742,16.255506483814177,11.039350766697854,4.997212273764115,10,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0440461338325417,3.0440461338325417,9.805102650614726,46590,1,0.0,2004,11,0,-0.5000000000000004,0.8660254037844384,2.6989013159915975,0,0,0,0,-1,1,1,10,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,42,1,0,4.0,0,1,1,0.20887458,0.092975795,0.021559715,-0.028600145,0.2058261,0.20702393,-0.063031,-0.05520372,-0.09416157,0.022307875,0.081502415,-0.032052144,-0.068571426,-0.042469054,0.031485844,-0.025393788,0.045885712,0.07446223,-0.008861234,0.030442454,0.0535744,0.17544824,-0.13227369,-0.08080876,-0.051487073,-0.023010943,-0.05809238,0.0077618835,0.006280929,0.08688,0,0.0,3,2,1,0.6931471805599453,False,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,7.843064016692054,1,1.6094379124341003,14.908661627954027,10.715039797474695,13.452670937105243,9.990215556045952,0.0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.39698576841553,2.39698576841553,10.845894273763054,25687,1,2.0,2004,6,0,1.2246467991473532e-16,-1.0,2.6989013159915975,0,0,0,0,-1,1,1,10,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.25,33,1,0,4.0,0,1,1,0.090627365,0.16242474,-0.0037501454,-0.010714123,0.1576209,0.2093264,-0.14080688,-0.08004379,-0.04877869,-0.022418978,0.14499292,-0.111618176,-0.1413432,-0.021892479,0.099411026,0.04926544,0.062385708,0.061373644,-0.08245152,-0.11641864,-0.005437115,0.09360296,0.040379964,-0.059842534,0.06475086,-0.019201618,-0.03226838,-0.06959896,0.009918012,-0.013641089,0,0.0,3,1,1,0.6931471805599453,True,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,1.3862943611198906,0.6931471805599453,8.879889967673464,1,1.791759469228055,15.671850734940033,11.091879604895041,14.878764717421127,10.700206149269437,4.007333185232471,10,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.39698576841553,2.39698576841553,10.14203190042636,73762,1,0.0,2010,7,0,-0.4999999999999997,-0.8660254037844388,2.6989013159915975,0,0,0,0,-1,1,1,10,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,42,1,0,4.0,0,0,1,0.30399984,-0.1947726,-0.061012223,0.074206635,0.17311418,0.08047648,-0.20729795,0.0109503865,-0.09998425,-0.04071746,-0.05047552,0.03015706,-0.056694895,-0.04442604,-0.06603232,0.14363915,-0.10173413,-0.0037522092,0.01106583,0.0031015575,0.015038185,-0.014629148,0.004861634,0.06341304,-0.009685952,0.0227179,-0.0034451727,-0.0850147,-0.04169795,0.06540874,0,0.0,3,2,1,0.6931471805599453,True,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,8.378620541552298,1,1.791759469228055,16.513157903172637,11.500569442760645,14.875166125296863,10.698423878998108,0.0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.797960356321203,40342,1,0.0,2005,10,0,-0.8660254037844386,0.5000000000000001,2.6989013159915975,0,0,0,0,-1,1,1,10,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1.0,21,1,0,4.0,0,0,0,-0.027150296,0.18173522,-0.012069464,0.14487022,0.09440847,0.18247606,-0.06243279,0.06039491,0.11932993,-0.10472617,0.016875606,0.03838198,-0.051299892,0.12320939,-0.060365003,0.19548109,-0.07124039,0.05815219,0.05702954,-0.04062424,-0.05787152,0.06264813,-0.0505693,-0.023986118,0.058649406,0.025964044,-0.14083536,0.0022752127,-0.022820644,0.0028802603,0,0.0,3,1,1,0.6931471805599453,True,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,6.762729506931879,1,1.791759469228055,15.731885078795237,11.12133367579457,12.869515488258784,9.699043078654404,0.0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.39698576841553,2.39698576841553,10.183087048794553,57599,1,0.0,2006,5,0,0.49999999999999994,-0.8660254037844387,2.6989013159915975,0,0,0,0,-1,1,1,10,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4.0,23,1,0,4.0,0,1,1,0.016476102,-0.017670304,-0.06890103,0.10221948,0.26532516,0.118666366,-0.037480365,0.007551836,-0.15497875,-0.008500053,0.12954353,-0.13168555,-0.07868566,0.047052063,0.06013375,0.1259288,-0.072105475,0.16414884,0.017981127,-0.08559846,0.03302732,0.099971354,0.002919132,0.0051471144,0.0899069,-0.030904941,-0.04002137,-0.13017847,-0.098659456,0.05068466,0,0.0,3,1,1,0.6931471805599453,True,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,1.791759469228055,1.0986122886681098,8.39795910349254,1,1.791759469228055,15.655806190852395,11.084002356823872,14.723209284043941,10.623008857981173,2.6390573296152584,10,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.196112848483529,2.196112848483529,10.429339710318741,62116,1,0.0,2006,6,0,1.2246467991473532e-16,-1.0,2.6989013159915975,0,0,0,0,-1,11,1,10,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1.0,42,1,0,4.0,0,0,1,-0.006167002,0.13047811,-0.06551874,0.038910247,0.04636541,0.18954737,-0.16052066,-0.19988388,0.016741661,0.0063969325,0.1708688,-0.060710635,-0.085153095,0.059224397,-0.026760649,-0.0024704542,0.0658575,0.11450915,-0.14956935,-0.021350432,-0.16260676,0.08203464,0.048021436,-0.026283357,0.07482975,-0.058496278,-0.03317719,-0.025673132,0.051030867,0.01251529,0,0.0,3,2,1,2.4849066497880004,True,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,0.6931471805599453,1.0986122886681098,10.22324951845132,1,2.4849066497880004,16.097455807294303,11.29990549682687,15.741837050033373,11.039350766697854,2.772588722239781,10,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.39698576841553,2.39698576841553,9.625623789021686,57737,1,0.0,2007,10,0,-0.8660254037844386,0.5000000000000001,2.6989013159915975,0,0,0,0,-1,8,1,10,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.0,42,1,0,4.0,0,0,1,-0.0020885393,0.28465596,0.07809496,0.08434762,-0.02149529,0.14229544,-0.021186225,0.08277753,-0.24825907,0.017760439,-0.055796605,-0.120370485,-0.021742,0.005910611,-0.05965074,-0.029333532,0.076837614,0.018751968,0.065700755,-0.021995492,0.02014855,0.13959607,0.052109454,0.05972277,0.021297097,0.00066575035,-0.06691605,-0.17107491,0.03347045,0.005764799,0,0.0,3,3,1,2.1972245773362196,False,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,2.833213344056216,0.6931471805599453,12.85826761475869,1,2.4849066497880004,17.44990248999392,11.69374734845264,17.44990248999392,11.039350766697854,6.255750041753367,10,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,10.927555876583714,59405,1,2.0,2007,10,0,-0.8660254037844386,0.5000000000000001,2.6989013159915975,0,0,0,0,-1,3,1,10,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,15.0,24,1,1,1.0,25,1,1,0.32062876,-0.037499554,0.10673347,-0.04827897,-0.03571012,-0.094011396,-0.13745868,-0.08862867,0.015106404,-0.12869981,0.0032418184,0.058888987,0.10429447,0.07656293,0.035349686,-0.006192364,0.084024236,0.059583284,-0.12171598,0.035945497,0.12471905,0.08974769,0.044196717,0.1074041,-0.012134276,0.03872525,0.045501355,0.1267268,0.0025545284,-0.05742882,0,0.0,3,3,2,1.3862943611198906,False,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,1.9459101490553132,1.0986122886681098,9.208438564686587,1,2.5649493574615367,15.313685681656786,10.915488384235935,14.949473902824183,10.735265601265295,4.30406509320417,10,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0440461338325417,3.0440461338325417,10.956701418570916,53866,1,2.0,2008,11,0,-0.5000000000000004,0.8660254037844384,2.6989013159915975,0,0,0,0,-1,7,1,10,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1.0,46,1,1,1.0,30,0,1,0.109802164,0.05418027,0.086962044,0.091471866,0.31631666,-0.0387526,-0.1861963,-0.040080704,-0.08475658,0.014014652,0.1496111,0.003557831,-0.103358224,0.101578236,-0.053739723,0.07118057,0.08957,0.0070053535,-0.015080679,0.026586033,-0.049940728,-0.03558071,-0.09970407,-0.09398261,0.0013889354,0.06033549,-0.074112624,-0.037796292,-0.08848739,0.062111024,0,0.0,2,4,1,2.0794415416798357,False,False,False,False
0.0,0.0,0.6931471805599453,0.0,0.0,1.3862943611198906,0.6931471805599453,11.854577122347065,1,2.8903717578961645,16.561148087691205,11.523519153181098,16.42435909056572,11.039350766697854,4.2626798770413155,10,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0440461338325417,3.0440461338325417,10.577222529574613,47086,1,1.0,2009,11,0,-0.5000000000000004,0.8660254037844384,2.6989013159915975,0,0,0,0,-1,7,1,10,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2.0,41,1,1,2.0,40,1,1,0.037257917,-0.11527848,0.0072444975,0.17019711,0.26316446,-0.09440219,-0.09153038,0.009860158,0.0073482418,-0.12681781,0.122610375,-0.032196082,-0.029039407,0.12614895,-0.040135317,0.11083388,0.060249686,0.06362022,-0.014401361,0.0038599074,-0.08494054,-0.093909614,0.01777919,0.02751718,-0.05220281,0.03227518,-0.051216397,-0.06325217,-0.038038425,0.1524056,0,0.0,3,4,1,2.0794415416798357,False,False,False,False
